post_id,post_title,_search_title,post_status,post_tags,post_category,default_category,featured,featured_image,submit_ip,overall_rating,rating_count,street,street2,city,region,country,zip,latitude,longitude,mapview,mapzoom,siren,raison_sociale,statut_juridique,sdsei,pole_territorial,utd,nb_adherents,capital_social,post_dummy,phone,email,website,facebook
22,Auto Draft,auto draft,auto-draft,,,,"0",,127.0.0.1,"0","0","6 rue Mayi et Alfred Darizcuren, Bayonne","6 rue Mayi et Alfred Darizcuren, Bayonne",bayonne,Pennsylvani,France,64100,,,,,,,,,,,,,"0",,,,
23,Auto Draft,auto draft,auto-draft,,,,"0",,127.0.0.1,"0","0",,,Philadelphia,Pennsylvania,United States,,,,,,,,,,,,,,"0",,,,
51,Auto Draft,auto draft,auto-draft,,,,"0",,127.0.0.1,"0","0",,,Philadelphia,Pennsylvania,United States,,,,,,,,,,,,,,"0",,,,
70,Auto Draft,auto draft,auto-draft,,,,"0",,127.0.0.1,"0","0",,,Philadelphia,Pennsylvania,United States,,,,,,,,,,,,,,"0",,,,
165,Auto Draft,auto draft,auto-draft,,,,"0",,127.0.0.1,"0","0",,,Philadelphia,Pennsylvania,United States,,,,,,,,,,,,,,"0",,,,
166,Auto Draft,auto draft,auto-draft,,,,"0",,127.0.0.1,"0","0",,,Philadelphia,Pennsylvania,United States,,,,,,,,,,,,,,"0",,,,
6087,SUGARAI,sugarai,publish,,,,"0",,127.0.0.1,"0","0",,,AHAXE-ALCIETTE-BASCASSAN,Nouvelle-Aquitaine,France,64220,43.36760291574037,-1.4877168375982117,,,811076181,SUGARAI,COOPERATIVES,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6088,APEL EC PUB MENDIVE LECUMBERRY AHAXE ...,apel ec pub mendive lecumberry ahaxe ...,publish,,,,"0",,127.0.0.1,"0","0",,,AHAXE-ALCIETTE-BASCASSAN,Nouvelle-Aquitaine,France,64220,43.323932131875715,-1.3081039864940434,,,379120355,APEL EC PUB MENDIVE LECUMBERRY AHAXE ...,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6089,TRUITE DU PAYS BASQUE,truite du pays basque,publish,,,,"0",,127.0.0.1,"0","0",,,AHAXE-ALCIETTE-BASCASSAN,Nouvelle-Aquitaine,France,64220,43.225340531654155,-1.1470803728749839,,,403257710,TRUITE DU PAYS BASQUE,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
6090,ASS COMITE DES FETES,ass comite des fetes,publish,,,,"0",,127.0.0.1,"0","0",,,AHAXE-ALCIETTE-BASCASSAN,Nouvelle-Aquitaine,France,64220,43.27222391804697,-1.2098073165059153,,,425187168,ASS COMITE DES FETES,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
