ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,siren,raison_sociale,statut_juridique,code_postal,ville,sdsei,pole_territorial,utd,nb_adherents,capital_social,post_images
52,SUGARAI,,publish,12,gd_place,"2025-07-15 11:50:22","2025-07-15 11:50:22",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
53,"APEL EC PUB MENDIVE LECUMBERRY AHAXE ...",,publish,13,gd_place,"2025-07-15 11:50:22","2025-07-15 11:50:22",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
54,"TRUITE DU PAYS BASQUE",,publish,14,gd_place,"2025-07-15 11:50:22","2025-07-15 11:50:22",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
55,"ASS  COMITE DES FETES",,publish,15,gd_place,"2025-07-15 11:50:22","2025-07-15 11:50:22",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
56,AHATSARRAK,,publish,16,gd_place,"2025-07-15 11:50:22","2025-07-15 11:50:22",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
57,"GROUPEMENT PASTORAL DE L'ESTIVE D'ARROSKOA",,publish,17,gd_place,"2025-07-15 11:50:22","2025-07-15 11:50:22",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
58,"ASSO LAUAK-BAT DES PARENTS D'ELEVES DES ECOLES PUBLIQUES DE MENDIVE-AHAXE",,publish,18,gd_place,"2025-07-15 11:50:23","2025-07-15 11:50:23",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
59,"CUMA  AHAL DENA",,publish,19,gd_place,"2025-07-15 11:50:23","2025-07-15 11:50:23",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
60,"EUZKADI CLUB RENCONTRE",,publish,20,gd_place,"2025-07-15 11:50:23","2025-07-15 11:50:23",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
61,SUGARAI,,publish,12,gd_place,"2025-07-15 11:55:41","2025-07-15 11:55:41",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
62,"APEL EC PUB MENDIVE LECUMBERRY AHAXE ...",,publish,13,gd_place,"2025-07-15 11:55:41","2025-07-15 11:55:41",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
63,"TRUITE DU PAYS BASQUE",,publish,14,gd_place,"2025-07-15 11:55:41","2025-07-15 11:55:41",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
64,"ASS  COMITE DES FETES",,publish,15,gd_place,"2025-07-15 11:55:41","2025-07-15 11:55:41",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
65,AHATSARRAK,,publish,16,gd_place,"2025-07-15 11:55:41","2025-07-15 11:55:41",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
66,"GROUPEMENT PASTORAL DE L'ESTIVE D'ARROSKOA",,publish,17,gd_place,"2025-07-15 11:55:41","2025-07-15 11:55:41",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
67,"ASSO LAUAK-BAT DES PARENTS D'ELEVES DES ECOLES PUBLIQUES DE MENDIVE-AHAXE",,publish,18,gd_place,"2025-07-15 11:55:41","2025-07-15 11:55:41",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
68,"CUMA  AHAL DENA",,publish,19,gd_place,"2025-07-15 11:55:41","2025-07-15 11:55:41",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
69,"EUZKADI CLUB RENCONTRE",,publish,20,gd_place,"2025-07-15 11:55:41","2025-07-15 11:55:41",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,,,,,,,,,,,
