ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,siren,raison_sociale,statut_juridique,sdsei,pole_territorial,utd,nb_adherents,capital_social,phone,email,website,facebook,post_images
11087,"LA RONDE DES LUTINS",,publish,5201,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.21743685016386," -1.163624560864481",538479742,"LA RONDE DES LUTINS",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11088,KIRIBIL,,publish,5202,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.264064121256155," -1.0159258794575945",751340084,KIRIBIL,ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11089,MARTXUKA,,publish,5203,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.206512796320126," -1.1857450522166937",752136754,MARTXUKA,ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11090,"LEUS BASTES",,publish,5204,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.41069942069158," -1.6318101999236134",752902502,"LEUS BASTES",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11091,"TEAM 64 LUZIEN",,publish,5205,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.09143596820312," -1.1642384816080233",753650720,"TEAM 64 LUZIEN",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11092,"SYNDICAT D INITIATIVE",,publish,5206,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.40492065392188," -1.2989924491556502",782371389,"SYNDICAT D INITIATIVE",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11093,"EMAK HOR CINEMA",,publish,5207,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.20798693149409," -1.0135508303020564",782371439,"EMAK HOR CINEMA",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11094,"SAINT PEE UNION CLUB",,publish,5208,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.16661903837204," -1.040205198480677",782371553,"SAINT PEE UNION CLUB",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11095,"SENPEREKO IKASTOLAREN ADIXKIDE",,publish,5209,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.17652593297447," -1.1763231527859066",782371595,"SENPEREKO IKASTOLAREN ADIXKIDE",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11096,"SENPEREKO DANTZARI TALDEA ZIRIKOLATZ",,publish,5210,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.38971152870239," -1.5792525860796658",788509354,"SENPEREKO DANTZARI TALDEA ZIRIKOLATZ",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11097,"ORGANISATION DE SEANCES D'ACTIVITES D'EVEIL ET D'ATELIERS A EFFETS THERAPEUTIQUES PAR INTERACTION DE L'ANIMAL",,publish,5211,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.28690165952355," -1.3901817157583383",789572815,"ORGANISATION DE SEANCES D'ACTIVITES D'EVEIL ET D'ATELIERS A EFFETS THERAPEUTIQUES PAR INTERACTION DE L'ANIMAL",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11098,"MAISON DE LA NATURE BASQUE",,publish,5212,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.16900888501864," -1.2762626065908123",794120980,"MAISON DE LA NATURE BASQUE",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
11099,"MARPLE AFRIQUE SOLIDARITE",,publish,5213,gd_place,"2025-07-21 19:54:00","2025-07-21 19:54:00",,,,0,,,SAINT-PÉE-SUR-NIVELLE,Nouvelle-Aquitaine,France,64310,43.45443477073217," -1.3811675375372032",795025642,"MARPLE AFRIQUE SOLIDARITE",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,
