ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,siren,raison_sociale,statut_juridique,sdsei,pole_territorial,utd,nb_adherents,capital_social,phone,email,website,facebook,order_test,rating_test_,rating,post_images
6087,SUGARAI,,publish,5772,gd_place,"2025-07-21 19:52:48","2025-07-24 07:42:51",,",28,",28,0,"6 Rue Mayi et Alfred Darizcuren",,AHAXE-ALCIETTE-BASCASSAN,Nouvelle-Aquitaine,France,64220,43.36760291574037," -1.4877168375982117",811076181,SUGARAI,COOPERATIVES,"Pays Basque intérieur","GARAZI BAIGORRY","UTD Basse Navarre et Soule",,,,,,,,,,
6088,"APEL EC PUB MENDIVE LECUMBERRY AHAXE ...",,publish,5773,gd_place,"2025-07-21 19:52:48","2025-07-21 19:52:48",,,,0,,,AHAXE-ALCIETTE-BASCASSAN,Nouvelle-Aquitaine,France,64220,43.323932131875715," -1.3081039864940434",379120355,"APEL EC PUB MENDIVE LECUMBERRY AHAXE ...",ASSOCIATIONS,"Pays Basque intérieur","GARAZI BAIGORRY","UTD Basse Navarre et Soule",,,,,,,,,,
6089,"TRUITE DU PAYS BASQUE",,publish,5774,gd_place,"2025-07-21 19:52:49","2025-07-21 19:52:49",,,,0,,,AHAXE-ALCIETTE-BASCASSAN,Nouvelle-Aquitaine,France,64220,43.225340531654155," -1.1470803728749839",403257710,"TRUITE DU PAYS BASQUE",ASSOCIATIONS,"Pays Basque intérieur","GARAZI BAIGORRY","UTD Basse Navarre et Soule",,,,,,,,,,
6090,"ASS  COMITE DES FETES",,publish,5775,gd_place,"2025-07-21 19:52:49","2025-07-21 19:52:49",,,,0,,,AHAXE-ALCIETTE-BASCASSAN,Nouvelle-Aquitaine,France,64220,43.27222391804697," -1.2098073165059153",425187168,"ASS COMITE DES FETES",ASSOCIATIONS,"Pays Basque intérieur","GARAZI BAIGORRY","UTD Basse Navarre et Soule",,,,,,,,,,
6091,AHATSARRAK,,publish,5776,gd_place,"2025-07-21 19:52:49","2025-07-21 19:52:49",,,,0,,,AHAXE-ALCIETTE-BASCASSAN,Nouvelle-Aquitaine,France,64220,43.10886321307201," -1.0102123953136721",499601045,AHATSARRAK,ASSOCIATIONS,"Pays Basque intérieur","GARAZI BAIGORRY","UTD Basse Navarre et Soule",,,,,,,,,,
6092,"GROUPEMENT PASTORAL DE L'ESTIVE D'ARROSKOA",,publish,5777,gd_place,"2025-07-21 19:52:49","2025-07-21 19:52:49",,,,0,,,AHAXE-ALCIETTE-BASCASSAN,Nouvelle-Aquitaine,France,64220,43.25290042089227," -1.1150343842517398",534466305,"GROUPEMENT PASTORAL DE L'ESTIVE D'ARROSKOA",ASSOCIATIONS,"Pays Basque intérieur","GARAZI BAIGORRY","UTD Basse Navarre et Soule",,,,,,,,,,
6093,"ASSO LAUAK-BAT DES PARENTS D'ELEVES DES ECOLES PUBLIQUES DE MENDIVE-AHAXE",,publish,5778,gd_place,"2025-07-21 19:52:49","2025-07-21 19:52:49",,,,0,,,AHAXE-ALCIETTE-BASCASSAN,Nouvelle-Aquitaine,France,64220,43.285404428330615," -1.4554967677331951",818992471,"ASSO LAUAK-BAT DES PARENTS D'ELEVES DES ECOLES PUBLIQUES DE MENDIVE-AHAXE",ASSOCIATIONS,"Pays Basque intérieur","GARAZI BAIGORRY","UTD Basse Navarre et Soule",,,,,,,,,,
6094,"CUMA  AHAL DENA",,publish,5779,gd_place,"2025-07-21 19:52:49","2025-07-21 19:52:49",,,,0,,,AHETZE,Nouvelle-Aquitaine,France,64210,43.02416638997143," -1.029037358680532",328275441,"CUMA AHAL DENA",COOPERATIVES,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,,,,
6095,"EUZKADI CLUB RENCONTRE",,publish,5780,gd_place,"2025-07-21 19:52:49","2025-07-23 12:42:00",,",29,",29,0,,,AHETZE,Nouvelle-Aquitaine,France,64210,43.41949121730833," -1.4775228283044415",379551427,"EUZKADI CLUB RENCONTRE",ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,,,,
6096,AHEZTARRAK,,publish,5781,gd_place,"2025-07-21 19:52:49","2025-07-21 19:52:49",,,,0,,,AHETZE,Nouvelle-Aquitaine,France,64210,43.42330612046151," -1.5795323871544555",397529850,AHEZTARRAK,ASSOCIATIONS,Nive-Nivelle,"SUD PAYS BASQUE","UTD Labourd",,,,,,,,,,
